Be;Beryllium;4;9.0122;2
Mg;Magnesium;12;24.305;3
Ca;Calcium;20;40.078;4
Sr;Strontium;38;87.620;5
Ba;Barium;56;137.33;6
Ra;Radium;88;226;7
